단어,점수
부비적거리다,0
부비적대다,0
부서뜨리다,-1
부서지다,-1
부스대다,-1
부스러지다,-1
부스러트리다,-1
부스럭대다,-1
부시,0
부시다,0
부시럭거리다,-1
부시럭대다,-1
부신,0
부심,0
부여잡다,0
부추기다,0
부추키다,0
부치다,0
부친,0
부풀다,0
부풀리다,0
북받치다,0
분가,0
분거,0
분다,0
분명해지다,0
분수,0
분자,0
분전,0
불가,0
불거지다,0
불고기,0
불구,0
불기,0
불다,0
불러일으키다,0
불리,0
불리다,0
불면,0
불수,0
불안,0
불어,0
불어오다,0
불지,0
붐비다,0
붓다,0
붙다,0
붙들다,0
붙박다,0
붙이,0
붙이다,0
붙잡다,0
붙잡히다,0
비고,0
비기다,0
비꼬다,0
비다,0
비뚤다,0
비뚤어지다,0
비비고,0
비비다,0
비빔면,0
비실,0
비아,0
비야,0
비우기,0
비우다,0
비웃다,
비지,0
비추다,0
비치,0
비치다,0
비키,0
비키다,0
비틀대다,0
비틀리다,0
비틀어지다,0
빈정대다,-2
빌다,0
빌라,0
빌리다,0
빌붙다,-1
빌어,0
빗나가다,0
빗다,0
빗대다,0
빗어주다,0
빗줄기,0
빛나다,0
빠뜨리다,0
빠져나가다,0
빠져나오다,0
빠져들다,0
빠지다,0
빡시다,0
빨다,0
빨아들이다,0
빼놓다,0
빼다,0
빼먹다,0
빼앗기다,-1
빼앗다,-1
뺏다,0
뻐기다,0
뻗다,0
뻗치다,0
뻥뚤리다,0
뽀드득대다,1
뽀록나다,1
뽀시락거리다,1
뽀시락대다,1
뽀얘지다,1
뽐내다,1
뽑다,0
뽑히다,0
뽕나다,0
뿌리,0
뿌리다,0
뿌리치다,0
뿜어내다,0
삐뚤어지다,-1
사가,0
사가다,0
사각대다,0
사각이다,0
사고,0
사고팔다,0
사구,0
사귀다,1
사그라들다,1
사그라지다,1
사기,-1
사나워지다,-1
사내,0
사다,0
사다리,0
사도,0
사들이다,0
사라,0
사라지다,-1
사랑,2
사랑받다,2
사로자다,0
사로잡히다,-1
사르,0
사르다,0
사리,0
